"","RECYEAR","avg.LIVEGRASS"
"1269",2013,50.2383333333333
"1271",2013,45.9016666666667
"1273",2013,41.9583333333333
"1275",2013,55.1066666666667
"1277",2013,102.823333333333
"1279",2013,71.3783333333333
"1281",2013,77.1783333333333
"1283",2013,51.2483333333333
"1285",2013,44.72
"1287",2013,51.3916666666667
"1289",2013,54.86
"1291",2013,40.2183333333333
"1293",2013,45.4983333333333
"1295",2013,35.9783333333333
"1297",2013,53.5983333333333
"1299",2013,56.525
"1301",2013,45.525
"1303",2013,47.69
"1305",2013,43.15
"1307",2013,36.4033333333333
"1309",2014,23.3183333333333
"1311",2014,36.84
"1313",2014,24.475
"1315",2014,38.49
"1317",2014,17.8233333333333
"1319",2014,47.2083333333333
"1321",2014,24.77
"1323",2014,34.0583333333333
"1325",2014,21.8883333333333
"1327",2014,28.2783333333333
"1329",2014,28.7916666666667
"1331",2014,31.3966666666667
"1333",2014,31.5733333333333
"1335",2014,25.1883333333333
"1337",2014,42.695
"1339",2014,33.335
"1341",2014,34.4983333333333
"1343",2014,33.5466666666667
"1345",2014,34.0683333333333
"1347",2014,47.08
"1349",2014,38.1916666666667
"1351",2014,34.335
"1353",2014,24.8766666666667
"1355",2014,23.0216666666667
"1357",2014,35.625
"1359",2014,38.82
"1361",2014,31.5666666666667
"1363",2014,34.215
"1365",2014,25.7783333333333
"1367",2014,22.3033333333333
"1369",2015,53.99
"1371",2015,67.485
"1373",2015,57.4533333333333
"1375",2015,53.8416666666667
"1377",2015,41.9116666666667
"1379",2015,62.0583333333333
"1381",2015,64.74
"1383",2015,48.0733333333333
"1385",2015,59.2433333333333
"1387",2015,49.9033333333333
"1389",2015,59.9316666666667
"1391",2015,50.1433333333333
"1393",2015,69.45
"1395",2015,63.4916666666667
"1397",2015,114.385
"1399",2015,61.7466666666667
"1401",2015,77.03
"1403",2015,67.475
"1405",2015,42.6366666666667
"1407",2015,63.3666666666667
"1409",2015,59.2216666666667
"1411",2015,52.3633333333333
"1413",2015,48.2383333333333
"1415",2015,37.5833333333333
"1417",2015,58.4633333333333
"1419",2015,57.1383333333333
"1421",2015,48.46
"1423",2015,66.02
"1425",2015,39.2266666666667
"1427",2015,36.0083333333333
